#############################
#...C..#....#S..#.......##.##
#......#....U..T#.....#.#...#
#..##.#.S#.#.S.......###....#
#....#.....#..##.....S.K#...#
#.#.SR......#...##......#...#
#..#........#..S......#..S..#
##...#.#.....#..R.......#.B.#
#.#..#..........#......#....#
#....$..S#...b..............#
#T..##K.##.###..#.#...#S..###
#.#..K...#....#...#.C#......#
#.#......#....KK.....###.#.b#
#..##...S....#.#....#.#....##
##.......K...#...#.K........#
#.....#..S###...............#
##....#........S...........S#
#...#..#.##...#....B..#.....#
#..B#....##.#..........##T..#
#.K........R..#.#.......#...#
#############################

SWITCH: turn=250 duration=100

ORDERS:
start=4	duration=88	required=MEAT,NOODLES,SAUCE	reward=88000	penalty=680
start=8	duration=24	required=SAUCE,NOODLES	reward=82000	penalty=530
start=9	duration=0	required=NOODLES,SAUCE	reward=38000	penalty=170
start=17	duration=98	required=MEAT,ONIONS,NOODLES,EGG,SAUCE	reward=41000	penalty=80
start=18	duration=41	required=ONIONS,NOODLES,EGG,MEAT,SAUCE	reward=76000	penalty=150
start=26	duration=82	required=EGG	reward=87000	penalty=490
start=35	duration=2	required=EGG,ONIONS	reward=66000	penalty=480
start=49	duration=25	required=NOODLES,SAUCE,MEAT	reward=98000	penalty=620
start=52	duration=2	required=ONIONS	reward=43000	penalty=90
start=62	duration=47	required=ONIONS,NOODLES,MEAT,EGG	reward=40000	penalty=390
start=67	duration=81	required=EGG	reward=7000	penalty=30
start=72	duration=27	required=EGG,MEAT,SAUCE,NOODLES	reward=78000	penalty=730
start=96	duration=3	required=ONIONS,SAUCE	reward=6000	penalty=30
start=115	duration=29	required=SAUCE,EGG	reward=21000	penalty=160
start=119	duration=2	required=NOODLES,ONIONS,EGG,MEAT,SAUCE	reward=87000	penalty=810
start=124	duration=78	required=NOODLES,ONIONS,EGG,SAUCE	reward=21000	penalty=160
start=125	duration=11	required=ONIONS,MEAT,SAUCE,EGG,NOODLES	reward=91000	penalty=800
start=127	duration=16	required=ONIONS	reward=67000	penalty=460
start=146	duration=87	required=MEAT,EGG,NOODLES,ONIONS,SAUCE	reward=4000	penalty=10
start=162	duration=19	required=SAUCE,EGG,MEAT,NOODLES	reward=75000	penalty=630
start=166	duration=20	required=EGG,MEAT,SAUCE,ONIONS	reward=90000	penalty=90
start=167	duration=59	required=EGG,SAUCE	reward=45000	penalty=70
start=170	duration=29	required=NOODLES,ONIONS,EGG	reward=100000	penalty=390
start=174	duration=10	required=NOODLES	reward=1000	penalty=0
start=182	duration=4	required=EGG,ONIONS,MEAT,NOODLES,SAUCE	reward=19000	penalty=0
start=184	duration=47	required=ONIONS,EGG,MEAT,NOODLES	reward=62000	penalty=610
start=210	duration=20	required=SAUCE	reward=61000	penalty=30
