#########
##S.....#
##.CS..##
#......##
#.b#.#..#
#..#.#.K#
#.R#.#..#
#U....#.#
#..K...##
#$.....C#
##.#.R..#
##.....##
#..C.#.##
#...K...#
#..B....#
#S......#
#..#...S#
#..b..T.#
#.##....#
#########

SWITCH: turn=250 duration=100

ORDERS:
start=7	duration=84	required=NOODLES,ONIONS,SAUCE,MEAT	reward=46000	penalty=350
start=8	duration=121	required=SAUCE	reward=36000	penalty=330
start=13	duration=213	required=SAUCE,EGG	reward=70000	penalty=100
start=14	duration=79	required=MEAT	reward=61000	penalty=270
start=20	duration=146	required=EGG,MEAT,SAUCE,NOODLES,ONIONS	reward=91000	penalty=380
start=23	duration=109	required=SAUCE,NOODLES,EGG,MEAT,ONIONS	reward=50000	penalty=460
start=24	duration=77	required=SAUCE	reward=80000	penalty=260
start=29	duration=34	required=MEAT,NOODLES,ONIONS	reward=45000	penalty=200
start=36	duration=106	required=MEAT	reward=36000	penalty=270
start=38	duration=72	required=ONIONS,EGG,NOODLES,MEAT	reward=38000	penalty=330
start=42	duration=226	required=EGG,SAUCE,MEAT,NOODLES	reward=0	penalty=0
start=46	duration=219	required=EGG,SAUCE,ONIONS,MEAT,NOODLES	reward=68000	penalty=10
start=55	duration=168	required=EGG,NOODLES	reward=29000	penalty=20
start=56	duration=167	required=NOODLES,EGG,MEAT,SAUCE,ONIONS	reward=97000	penalty=490
start=57	duration=109	required=NOODLES,ONIONS,EGG	reward=63000	penalty=90
start=63	duration=119	required=ONIONS,EGG,SAUCE,NOODLES	reward=23000	penalty=100
start=68	duration=136	required=NOODLES,ONIONS,MEAT	reward=71000	penalty=100
start=69	duration=208	required=EGG,NOODLES,ONIONS,SAUCE,MEAT	reward=98000	penalty=90
start=76	duration=155	required=MEAT	reward=56000	penalty=540
start=83	duration=41	required=SAUCE	reward=28000	penalty=180
start=88	duration=150	required=MEAT,NOODLES,ONIONS,SAUCE	reward=98000	penalty=860
start=92	duration=29	required=MEAT,SAUCE,EGG	reward=100000	penalty=50
start=94	duration=93	required=MEAT,NOODLES,EGG	reward=30000	penalty=70
start=97	duration=2	required=NOODLES,MEAT,SAUCE,ONIONS,EGG	reward=100000	penalty=150
start=98	duration=64	required=SAUCE	reward=94000	penalty=180
start=101	duration=205	required=EGG,NOODLES,ONIONS	reward=11000	penalty=0
start=102	duration=23	required=ONIONS	reward=99000	penalty=630
start=107	duration=43	required=MEAT	reward=95000	penalty=420
start=110	duration=209	required=EGG,SAUCE,MEAT,ONIONS	reward=24000	penalty=0
start=113	duration=117	required=EGG,ONIONS,MEAT,NOODLES,SAUCE	reward=84000	penalty=140
start=117	duration=129	required=EGG	reward=50000	penalty=240
start=119	duration=41	required=SAUCE,EGG	reward=33000	penalty=210
start=123	duration=167	required=NOODLES,ONIONS	reward=92000	penalty=860
start=131	duration=176	required=EGG,SAUCE,MEAT,NOODLES	reward=7000	penalty=60
start=134	duration=233	required=ONIONS,NOODLES,SAUCE	reward=9000	penalty=20
start=135	duration=26	required=ONIONS,EGG,MEAT,NOODLES,SAUCE	reward=59000	penalty=360
start=139	duration=194	required=ONIONS,SAUCE	reward=32000	penalty=280
start=144	duration=205	required=ONIONS,MEAT,EGG	reward=44000	penalty=390
