#################
#.#.....#.......#
#...#..#......###
#S.....#C.......#
#.....#......#..#
#b..###C........#
##S...#..S..#.###
#.......KCR..S..#
#..K..#S....##..#
#....#..#..CS..K#
#.##S...#.....KK#
#..#.......C#...#
#B......S#...KKK#
#....#..#K.##...#
##.....S.T..#...#
#.C...##..K.##..#
#...........#...#
#..#..S.#..#..R.#
#...C...#.......#
##..#.......b..##
#S.C..#S#.......#
#...#......#.#..#
#....KT.#.##.#..#
#....S#####.#...#
#..$..#.....#.#.#
#...#KS.##..#..##
#...........U.K##
##.#.#....#...#.#
#....#.#.#......#
#......#..T#.##S#
#..........#..#.#
#....#.S.##.#...#
#........#...#..#
#...#...#.....B.#
#...............#
#################

SWITCH: turn=250 duration=100

ORDERS:
start=5	duration=204	required=ONIONS,NOODLES,EGG,SAUCE	reward=62000	penalty=1000
start=26	duration=95	required=EGG	reward=77000	penalty=800
start=34	duration=11	required=MEAT	reward=53000	penalty=2000
start=43	duration=189	required=EGG	reward=29000	penalty=8600
start=46	duration=159	required=ONIONS	reward=56000	penalty=3900
start=49	duration=212	required=SAUCE,ONIONS,MEAT	reward=43000	penalty=10000
start=53	duration=220	required=MEAT,NOODLES	reward=46000	penalty=4600
start=58	duration=195	required=MEAT	reward=83000	penalty=4000
start=71	duration=89	required=EGG,SAUCE,ONIONS,MEAT	reward=0	penalty=7600
start=76	duration=233	required=SAUCE,NOODLES,ONIONS,EGG,MEAT	reward=61000	penalty=6500
start=83	duration=131	required=ONIONS	reward=60000	penalty=1900
start=103	duration=168	required=EGG	reward=70000	penalty=1600
start=115	duration=40	required=ONIONS,SAUCE,MEAT	reward=22000	penalty=6000
start=119	duration=124	required=SAUCE	reward=35000	penalty=9800
start=131	duration=38	required=NOODLES,MEAT,EGG,ONIONS,SAUCE	reward=61000	penalty=2700
start=146	duration=110	required=EGG	reward=43000	penalty=2100
start=171	duration=140	required=NOODLES,SAUCE	reward=76000	penalty=1100
start=175	duration=90	required=SAUCE,EGG	reward=33000	penalty=4500
start=193	duration=17	required=ONIONS,NOODLES,MEAT,SAUCE	reward=31000	penalty=8200
start=197	duration=41	required=EGG,MEAT,ONIONS,NOODLES,SAUCE	reward=84000	penalty=4700
start=200	duration=23	required=ONIONS,NOODLES,MEAT,SAUCE	reward=45000	penalty=4200
start=221	duration=168	required=EGG,SAUCE,MEAT,ONIONS	reward=23000	penalty=1200
start=224	duration=172	required=EGG,NOODLES	reward=52000	penalty=6000
start=231	duration=149	required=NOODLES,SAUCE	reward=90000	penalty=5900
start=241	duration=59	required=ONIONS,MEAT,EGG	reward=19000	penalty=4400
start=257	duration=32	required=ONIONS,NOODLES	reward=54000	penalty=6500
start=258	duration=72	required=SAUCE,EGG,NOODLES	reward=10000	penalty=6500
start=270	duration=160	required=SAUCE,ONIONS	reward=95000	penalty=3600
start=275	duration=171	required=NOODLES,SAUCE,EGG	reward=33000	penalty=5500
start=281	duration=128	required=SAUCE,EGG,ONIONS,MEAT	reward=92000	penalty=6600
start=284	duration=90	required=ONIONS,MEAT,SAUCE	reward=66000	penalty=600
start=291	duration=145	required=ONIONS,NOODLES,SAUCE,EGG	reward=4000	penalty=8100
start=292	duration=195	required=MEAT	reward=40000	penalty=2400
start=294	duration=39	required=MEAT	reward=11000	penalty=6900
start=305	duration=65	required=ONIONS,SAUCE,MEAT	reward=14000	penalty=9300
